symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
AXIL,2024-04-08 04:00:00+00:00,2024-04-09 04:00:00+00:00,12.61,12.185714285714285,79.0,-33.518571428571434,-3.3646765605528497,1
AXIL,2024-05-10 04:00:00+00:00,2024-05-13 04:00:00+00:00,11.3,11.557142857142859,88.0,22.628571428571504,2.2756005056890087,3
AXIL,2024-06-18 04:00:00+00:00,2024-06-21 04:00:00+00:00,10.55,9.942857142857143,94.0,-57.07142857142862,-5.754908598510498,3
AXIL,2024-07-19 04:00:00+00:00,2024-07-25 04:00:00+00:00,7.42,7.3,134.0,-16.080000000000013,-1.617250673854449,6
AXIL,2024-08-30 04:00:00+00:00,2024-09-06 04:00:00+00:00,5.35,4.865714285714286,186.0,-90.0771428571428,-9.052069425901196,7
AXIL,2024-10-24 04:00:00+00:00,2024-11-06 05:00:00+00:00,4.32,4.218571428571429,231.0,-23.43,-2.3478835978835977,13
AXIL,2024-11-08 05:00:00+00:00,2024-11-11 05:00:00+00:00,4.3,4.208571428571428,232.0,-21.21142857142862,-2.126245847176085,3
AXIL,2024-11-26 05:00:00+00:00,2024-12-06 05:00:00+00:00,4.375,4.07,228.0,-69.53999999999994,-6.971428571428564,10
AXIL,2024-12-23 05:00:00+00:00,2025-01-22 05:00:00+00:00,4.21,4.21,237.0,0.0,0.0,30
AXIL,2025-01-24 05:00:00+00:00,2025-01-24 05:00:00+00:00,5.19,5.228571428571429,192.0,7.405714285714225,0.7431874483897544,0
AXIL,2025-02-04 05:00:00+00:00,2025-02-13 05:00:00+00:00,6.145,6.760714285714285,162.0,99.74571428571427,10.019760548645822,9
AXIL,2025-02-18 05:00:00+00:00,2025-02-18 05:00:00+00:00,9.65,10.307857142857143,103.0,67.75928571428572,6.817172464840859,0
AXIL,2025-03-21 04:00:00+00:00,2025-03-25 04:00:00+00:00,7.4,7.077142857142857,135.0,-43.585714285714296,-4.362934362934364,4
AXIL,2025-04-15 04:00:00+00:00,2025-04-24 04:00:00+00:00,5.13,5.664285714285715,194.0,103.65142857142865,10.414926204399896,9
AXIL,2025-05-06 04:00:00+00:00,2025-06-05 04:00:00+00:00,6.065,6.05,164.0,-2.4600000000000932,-0.24732069249794836,30
AXIL,2025-06-25 04:00:00+00:00,2025-06-30 04:00:00+00:00,5.84,5.563571428571429,171.0,-47.26928571428569,-4.733365949119371,5
AXIL,2025-07-18 04:00:00+00:00,2025-07-21 04:00:00+00:00,6.6,6.843571428571428,151.0,36.77928571428568,3.690476190476187,3
AXIL,2025-07-23 04:00:00+00:00,2025-08-05 04:00:00+00:00,7.83,8.312142857142858,127.0,61.23214285714292,6.157635467980302,13
AXIL,2025-08-07 04:00:00+00:00,2025-08-11 04:00:00+00:00,8.45,9.107142857142856,118.0,77.54285714285707,7.776838546069309,4
AXIL,2025-08-22 04:00:00+00:00,2025-08-28 04:00:00+00:00,9.12,8.573571428571427,109.0,-59.56071428571441,-5.991541353383472,6
AXIL,2025-10-14 04:00:00+00:00,2025-10-27 04:00:00+00:00,5.31,5.392857142857142,188.0,15.577142857142835,1.56039817056766,13
AXIL,2025-11-28 05:00:00+00:00,2025-12-11 05:00:00+00:00,5.06,8.005,197.0,580.1650000000002,58.20158102766801,13
