symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
PCSA,2023-02-28 05:00:00+00:00,2023-03-01 05:00:00+00:00,0.6903,0.9308714285714286,1448.0,348.3474285714285,34.85027213840773,1
PCSA,2023-03-03 05:00:00+00:00,2023-03-07 05:00:00+00:00,1.135,0.9688214285714285,881.0,-146.4033214285715,-14.641283826305859,4
PCSA,2023-03-10 05:00:00+00:00,2023-03-21 04:00:00+00:00,0.5856,0.44377857142857147,1707.0,-242.08917857142853,-24.218140124902416,10
PCSA,2023-03-31 04:00:00+00:00,2023-04-05 04:00:00+00:00,0.568,0.517,1760.0,-89.75999999999988,-8.97887323943661,5
PCSA,2023-04-10 04:00:00+00:00,2023-04-11 04:00:00+00:00,0.568,0.5158928571428572,1760.0,-91.70857142857132,-9.173792756539227,1
PCSA,2023-04-14 04:00:00+00:00,2023-04-28 04:00:00+00:00,0.5,0.6112857142857142,2000.0,222.5714285714284,22.257142857142842,14
PCSA,2023-05-02 04:00:00+00:00,2023-05-03 04:00:00+00:00,0.67,0.62855,1492.0,-61.84339999999998,-6.1865671641791025,1
PCSA,2023-05-05 04:00:00+00:00,2023-05-08 04:00:00+00:00,0.7107,0.6847714285714286,1407.0,-36.481499999999976,-3.648314538985706,3
PCSA,2023-06-07 04:00:00+00:00,2023-06-13 04:00:00+00:00,0.65,0.6902857142857143,1538.0,61.95942857142853,6.1978021978021935,6
PCSA,2023-09-18 04:00:00+00:00,2023-09-20 04:00:00+00:00,0.3601,0.3565357142857143,2777.0,-9.89802142857135,-0.9898044194072999,2
PCSA,2023-10-13 04:00:00+00:00,2023-10-13 04:00:00+00:00,0.3474,0.4377428571428571,2878.0,260.0067428571428,26.00542807796693,0
PCSA,2023-11-07 05:00:00+00:00,2023-11-09 05:00:00+00:00,0.361,0.3296142857142857,2770.0,-86.9384285714286,-8.694103680253267,2
PCSA,2023-11-15 05:00:00+00:00,2023-11-15 05:00:00+00:00,0.447,0.41905714285714285,2237.0,-62.508171428571465,-6.25119846596357,0
PCSA,2023-11-28 05:00:00+00:00,2023-11-30 05:00:00+00:00,0.4875,0.5815785714285714,2051.0,192.95514999999995,19.29816849816849,2
PCSA,2023-12-04 05:00:00+00:00,2023-12-05 05:00:00+00:00,0.726,0.67845,1377.0,-65.47634999999997,-6.549586776859502,1
PCSA,2023-12-08 05:00:00+00:00,2023-12-13 05:00:00+00:00,0.829,0.7617285714285714,1206.0,-81.12934285714282,-8.114768223332755,5
PCSA,2024-01-23 05:00:00+00:00,2024-01-24 05:00:00+00:00,2.49,2.2239142857142857,401.0,-106.7003714285715,-10.686173264486525,1
PCSA,2024-01-26 05:00:00+00:00,2024-01-26 05:00:00+00:00,4.28,3.713,233.0,-132.11100000000005,-13.247663551401873,0
PCSA,2024-03-01 05:00:00+00:00,2024-03-04 05:00:00+00:00,2.45,2.4864285714285717,408.0,14.862857142857163,1.486880466472305,3
PCSA,2024-03-28 04:00:00+00:00,2024-03-28 04:00:00+00:00,2.35,2.343571428571429,425.0,-2.732142857142772,-0.27355623100303095,0
PCSA,2024-04-03 04:00:00+00:00,2024-04-04 04:00:00+00:00,2.45,2.335714285714286,408.0,-46.62857142857145,-4.664723032069972,1
PCSA,2024-04-26 04:00:00+00:00,2024-04-30 04:00:00+00:00,2.28,2.0799999999999996,438.0,-87.60000000000008,-8.771929824561413,4
PCSA,2024-06-18 04:00:00+00:00,2024-06-21 04:00:00+00:00,1.86,1.8392857142857142,537.0,-11.123571428571532,-1.113671274961608,3
PCSA,2024-06-25 04:00:00+00:00,2024-06-28 04:00:00+00:00,2.11,2.2914285714285714,473.0,85.81571428571432,8.598510494245096,3
