symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
RADX,2025-02-14 05:00:00+00:00,2025-02-27 05:00:00+00:00,4.81,5.145714285714285,207.0,69.49285714285708,6.979506979506973,13
RADX,2025-05-06 04:00:00+00:00,2025-05-23 04:00:00+00:00,4.26,4.7942857142857145,234.0,125.02285714285723,12.541918175721003,17
RADX,2025-06-13 04:00:00+00:00,2025-06-20 04:00:00+00:00,5.51,4.997857142857143,181.0,-92.69785714285712,-9.294788695877623,7
RADX,2025-07-17 04:00:00+00:00,2025-07-30 04:00:00+00:00,4.47,4.671428571428572,223.0,44.918571428571546,4.506232023010559,13
RADX,2025-08-01 04:00:00+00:00,2025-08-01 04:00:00+00:00,4.61,4.652857142857143,216.0,9.257142857142824,0.9296560272699067,0
RADX,2025-08-14 04:00:00+00:00,2025-08-20 04:00:00+00:00,5.555,5.902142857142857,180.0,62.48571428571425,6.2491963482062465,6
RADX,2025-09-10 04:00:00+00:00,2025-09-11 04:00:00+00:00,5.84,6.412142857142857,171.0,97.83642857142863,9.796966731898245,1
RADX,2025-09-15 04:00:00+00:00,2025-09-15 04:00:00+00:00,7.09,6.922857142857143,141.0,-23.567142857142873,-2.3574450936933324,0
RADX,2025-09-17 04:00:00+00:00,2025-09-18 04:00:00+00:00,7.19,6.815714285714286,139.0,-52.02571428571432,-5.2056427577985325,1
RADX,2025-10-07 04:00:00+00:00,2025-10-08 04:00:00+00:00,6.7,7.265714285714286,149.0,84.29142857142858,8.44349680170576,1
RADX,2025-12-02 05:00:00+00:00,2025-12-05 05:00:00+00:00,4.53,4.605,220.0,16.50000000000004,1.6556291390728517,3
