symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
TWO,2023-02-02 05:00:00+00:00,2023-02-03 05:00:00+00:00,18.485,18.24214285714286,54.0,-13.114285714285572,-1.3138065613045182,1
TWO,2023-03-31 04:00:00+00:00,2023-04-03 04:00:00+00:00,14.39,14.231785714285715,69.0,-10.916785714285679,-1.0994738409609812,3
TWO,2023-04-28 04:00:00+00:00,2023-05-02 04:00:00+00:00,13.88,13.630714285714285,72.0,-17.948571428571512,-1.7960065870728779,4
TWO,2023-05-19 04:00:00+00:00,2023-05-24 04:00:00+00:00,12.475,12.228571428571428,80.0,-19.71428571428575,-1.9753793300887525,5
TWO,2023-05-31 04:00:00+00:00,2023-06-01 04:00:00+00:00,12.51,12.5625,79.0,4.147500000000017,0.4196642685851336,1
TWO,2023-06-05 04:00:00+00:00,2023-06-12 04:00:00+00:00,13.18,13.835714285714285,75.0,49.17857142857143,4.975070453067418,7
TWO,2023-06-14 04:00:00+00:00,2023-06-20 04:00:00+00:00,14.105,13.823571428571428,70.0,-19.700000000000042,-1.9952397832582205,6
TWO,2023-07-19 04:00:00+00:00,2023-07-21 04:00:00+00:00,13.56,13.314642857142857,73.0,-17.91107142857146,-1.809418457648549,2
TWO,2023-07-25 04:00:00+00:00,2023-07-31 04:00:00+00:00,13.505,13.49,74.0,-1.110000000000042,-0.11106997408367693,6
TWO,2023-08-29 04:00:00+00:00,2023-08-29 04:00:00+00:00,13.525,13.520714285714286,73.0,-0.3128571428571547,-0.031687351465541205,0
TWO,2023-08-31 04:00:00+00:00,2023-09-05 04:00:00+00:00,13.74,13.603214285714285,72.0,-9.84857142857146,-0.9955292160532367,5
TWO,2023-09-15 04:00:00+00:00,2023-09-21 04:00:00+00:00,13.905,13.817142857142857,71.0,-6.237857142857127,-0.6318384959161643,6
TWO,2023-11-02 04:00:00+00:00,2023-11-14 05:00:00+00:00,12.49,13.43142857142857,80.0,75.31428571428563,7.537458538259171,12
TWO,2023-11-16 05:00:00+00:00,2023-11-27 05:00:00+00:00,13.69,13.665714285714285,73.0,-1.7728571428571236,-0.17739747469477007,11
TWO,2023-11-29 05:00:00+00:00,2023-12-06 05:00:00+00:00,13.94,13.8325,71.0,-7.632499999999995,-0.7711621233859393,7
TWO,2023-12-14 05:00:00+00:00,2023-12-15 05:00:00+00:00,14.54,14.28392857142857,68.0,-17.4128571428572,-1.761151503242293,1
TWO,2024-01-09 05:00:00+00:00,2024-01-11 05:00:00+00:00,13.975,13.9025,71.0,-5.147499999999985,-0.5187835420393545,2
TWO,2024-01-30 05:00:00+00:00,2024-01-30 05:00:00+00:00,13.395,13.085357142857143,74.0,-22.913571428571377,-2.3116301391777268,0
TWO,2024-02-16 05:00:00+00:00,2024-02-27 05:00:00+00:00,12.71,12.597857142857144,78.0,-8.74714285714282,-0.8823198831066612,11
TWO,2024-03-07 05:00:00+00:00,2024-03-07 05:00:00+00:00,12.985,12.791071428571428,77.0,-14.932500000000019,-1.4934814896308946,0
TWO,2024-03-12 04:00:00+00:00,2024-03-14 04:00:00+00:00,12.84,12.785714285714285,77.0,-4.180000000000067,-0.42278593680463517,2
TWO,2024-03-22 04:00:00+00:00,2024-03-26 04:00:00+00:00,13.105,12.881428571428572,76.0,-16.991428571428585,-1.7060009810868277,4
TWO,2024-03-28 04:00:00+00:00,2024-04-02 04:00:00+00:00,13.2,13.02,75.0,-13.499999999999979,-1.3636363636363615,5
TWO,2024-04-24 04:00:00+00:00,2024-05-03 04:00:00+00:00,12.44,12.972142857142856,80.0,42.57142857142853,4.277675700505278,9
TWO,2024-05-07 04:00:00+00:00,2024-05-07 04:00:00+00:00,13.32,13.088928571428571,75.0,-17.330357142857178,-1.7347704847704883,0
TWO,2024-06-04 04:00:00+00:00,2024-06-06 04:00:00+00:00,12.965,12.864285714285714,77.0,-7.75500000000002,-0.7768167043138139,2
TWO,2024-06-10 04:00:00+00:00,2024-06-17 04:00:00+00:00,12.87,12.98,77.0,8.470000000000093,0.8547008547008641,7
TWO,2024-06-20 04:00:00+00:00,2024-06-27 04:00:00+00:00,13.21,13.09392857142857,75.0,-8.705357142857295,-0.8786633502757805,7
TWO,2024-07-01 04:00:00+00:00,2024-07-01 04:00:00+00:00,13.2,13.025357142857143,75.0,-13.09821428571425,-1.3230519480519445,0
